Date,Title,article
"May 26, 2002, 01:25 IST",Turning the tide on HIV,"Pune: More than two decades after AIDS replaced cancer as the most dreaded disease on the planet, millions of people, including nursing professionals, find themselves in two minds while dealing with HIV-AIDS patients.In a bid to tackle some of this stigma and discrimination associated with the killer, the Ruby Hall Clinic here, recently conducted a workshop for the people who are among the first to deal with an HIV patient - chief nurses of city hospitals.,The workshop was held under the aegis of the Centre for HIV/AIDS Research and Training (CHART) - a collaborative effort between the University of South Florida and the Ruby Hall Clinic.,Naturally the message of the workshop coincided with CHARTa™s mission statement -to sensitise nurses and social workers to bring about a change in the quality of life of those infected with HIV.,According to Dr Sanjay Pujari, director of the HIV project at the hospital, CHART has is a two-tier approach.,aœThe participants in todaya™s programme would go back to their respective hospitals and organise similar activities there.,aœApart from the fear of contracting the virus and becoming sick and dying of the disease, the nursing community has to witness the stigma, isolation, marginalisation and discrimination of the patients,a� Dr Pujari explained.,One of the key factors of the training, according to him, is to awaken the nursesa™ emotional support and counselling techniques toward affected persons. "
"May 28, 2002, 20:09 IST","Over 22,000 people in Delhi HIV positive","NEW DELHI: Over 22,000 people in the national capital are HIV positive, Delhi Health Minister A K Walia said here on Tuesday.Of these 670 are full-grown AIDS patients, he said addressing a symposium on ''HIV/AIDS: Legal and Humanitarian Perspective - Preparedness for tomorrow''.,Stating that the Delhi government had decided to observe this year as AIDS Preventive Year, Walia said the administration was trying to spread awareness in a systematic manner at village, block and district levels with the help of other departments and NGOs.,He said the Delhi government had set up a number of voluntary test counselling centres in various medical colleges and hospitals.,Delhi High Court Chief Justice S B Sinha said illiterate people easily fall prey to the HIV virus and stressed the need for creating mass awareness to make people take precautions."
"May 29, 2002, 00:23 IST",New home for HIV patients in Hennur,"BANGALORE: Keshav would lay chained to a pole all day and lived in inhuman conditions. All because the 16-year-old''s parents discovered he had AIDS.Rajan, a 25-year-old graduate, was chased out of his house by his parents when they discovered he was infected with the terminally ill HIV virus.,These boys are not alone. All over India, many are put through humiliating and barbaric treatment, all because of AIDS.,It was these and other shocking cases that inspired Raju K Mathew to act: he started the AIDS Counselling, Care, Education and Prevention Training society (ACCEPT) in 1999.,The organisation on Tuesday opened a care home at Agara Horamavu, off Hennur Road, which was inaugurated by Chief Minister S M Krishna. The latter is also the chairman of the AIDS awareness programme in Karnataka.,The home accommodates 20 people and provides counselling and treatment free of cost. ``Since we had telephone counselling services for the last three years, more and more HIV patients were asking for a place to stay. Hence, we decided to open a small home for now and will later expand it,'''' Mathew said.,ACCEPT helps people to detect AIDS and then provides them with the support they need to overcome emotional and physical trauma.,Other activities include holistic care to patients and their families by providing medical and psychological relief, offering moral and value-based education to bring a behavioural change in their lives and conducting health awareness education to eliminate ignorance on HIV/AIDS."
"May 29, 2002, 03:06 IST",HIV-positive man’s desire to marry sets debate,"KOLKATA: This is a story of hope and courage a"" a fight between a mana™s search for happiness and a clash between human rights and the law.Mr X, an HIV-positive 37-year-old executive from Delhi, advertised in the matrimonial columns of two English dailies on May 26. Sources in the newspaper offices confirmed that he had booked space for the next three weeks as well.,The advertisement opens up several legal and ethical questions. A Supreme Court verdict in 1998 clearly says that while an HIV-positive person cannot be sacked from any job because of his medical condition, aœsex with them or possibility thereof has to be avoided as otherwise they would infect and communicate communicate the disease to others. The Court cannot assist a person to achieve this objecta�.,The Lawyers Collective, a national organisation whose HIV/AIDS unit provides legal aid to those afflicted, is fighting at present for Mr X and many others like him, ensuring they get the right to healthcare, housing, employment and marital rights relating to maintenance and custody.,aœCourts have no jurisdiction to abridge or suspend the fundamental right to life and liberty. Furthermore, restricting or suspending the right to marry for HIV-positive persons is arbitrary, unjust and discriminatory in nature, and violative of Articles 14 & 16 of the Constitution of India,a� said a senior senior lawyers and a member of the Collective, speaking to TNN over telephone from Delhi. ,He pointed out that if a man admits to his health condition and a woman agrees to marry him, the court order is not violated. But doctors dona™t agree. Speaking to TNN in Kolkata, physician Pratim Roy of the a˜STDHIV-Intervention Programmea™ project said, aœWe advise couples not to get married if one of them is HIV+. And if they do, sexual contact should be strictly banned, since even usage of protection is not fool proof.a�,Justice D.K. Basu agreed. aœThe law will not permit them to get married. But I suppose it depends on whether someone takes a couple to court for marrying despite being HIV-positive,a� he said. "
"May 29, 2002, 06:18 IST",Can an HIV positive person marry?,"KOLKATA: This is a story of hope and courage a"" a fight between a mana™s search for happiness and a clash between human rights and the law. Mr X (real identity protected), an HIV positive 37-year-old executive from Delhi advertised in the matrimonial columns of two national English dailies on Sunday a"" seeking the hand of a woman in marriage. Sources in the newspaper offices confirmed that he had booked space for next three weeks as well. The ad on May 26, reads: a˜Wanted for HIV+ man, 37/5.7 working in Delhi, an educated, working, unmarried/widow/divorcee woman below 35. Confidentiality of HIV status assured. A box number is given as is e-mail ID: writetome@justice.com There is just one problem. A Supreme Court verdict in 1998 clearly says, that while an HIV positive person cannot be sacked from any job because of his medical condition, aœsex with them or possibility thereof has to be avoided as otherwise they would infect and communicate the disease to others. The Court cannot assist a person to achieve this object.a� The Lawyers Collective, a national organisation whose HIV/AIDS unit provides legal aid to those afflicted, is fighting at present for Mr X and many others like him, ensuring they get the right to healthcare, housing, employment and marital rights relating to maintenance and custody. aœCourts have no jurisdiction to abridge or suspend the fundamental right to life and liberty. Furthermore, restricting or suspending the right to marry for HIV-positive persons is arbitrary, unjust and discriminatory in nature, and violative of Articles 14 & 16 of the Constitution of India,a� said a senior lawyer and a member of the Collective, speaking to TNN over telephone from Delhi. He pointed out that, if a man admits to his health condition and still a woman agrees to marry him, the court order is not violated. But doctors dona™t agree. Speaking to TNN in Kolkata, physician Pratim Roy of the a˜STD-HIV-Intervention Programmea™ project said, aœwe advise couples not to get married if one of them are HIV+. And if they do, sexual contact should be strictly banned, since even usage of protection is not fool proofa�. Justice DK Basu agreed. aœThe law will not permit them to get married. It depends on whether someone takes a couple to court for marrying despite being HIV positive,a� he said. "
"Jun 10, 2002, 00:22 IST",Sangli figures high on HIV-hit list,"SANGLI: The number of HIVpositive persons in Sangli district is feared to be several times higher than the registered cases. Dr Subhash Salunkhe, state health director general and project-director of Maharashtra AIDS Control Society (MACS), has said.,Speaking at a workshop, organised by the health division of UNICEF and MACS here on Saturday, Salunkhe said that the district is among the areas in the country with a large population of HIV patients.,Salunkhe said that according to studies, the number of HIV patients was normally more in poverty-stricken areas. aœHowever, Sangli does not belong to this category and, therefore, it is surprising to find a large number of HIV cases here,a� he added.,Sangli district civil surgeon Dr Dhanpal Ainapure said that a survey conducted showed that there were 70 per cent males and 30 per cent females among the HIV-hit."
"Jun 14, 2002, 01:28 IST",19 fresh HIV cases in Gorakhpur,"GORAKHPUR: Nineteen more HIV positive cases were detected at the Voluntary Counselling and Testing Centre (VC&PC) in the district hospital here last month. Forty-three such cases have been identified at the centre in the last five months.,Giving this information to Times News Network here on Thursday, senior pathologist of the centre RS Misra said that out of the 125 cases referred to the centre in the last five months 43 were found HIV positive. Out of these patients, 28 were male, he said and added that the maximum HIV positive cases (15) were reported from Gorakhpur followed by Kushinagar (11), Deoria, Sant Kabir Nagar (four each), Maharajganj (six) and Mau (three). ,Among these HIV positive cases four were children who inherited the virus from their parents, Misra added.,Claiming that the deadly disease was fast spreading in eastern districts, he said that the detection of HIV virus in children clearly indicated that AIDS patients were transmitting the disease to the next generation. He appealed to people to get themselves examined at the centre. "
"Jun 20, 2002, 01:07 IST",50 tested HIV positive at health camp,"PATNA: The five-day national family welfare and health mela, organised under the aegis of Bihar chapter of Indian Medical Association (IMA) at the ESI Hospital, Phulwarisharif, concluded on Wednesday.About 50,000 patients, including 21,506 women, got themselves registered at the five-day health mela and underwent various tests at the 40 stalls set up there. Medical education and family welfare minister Shakeel Ahmad was the chief guest at the valedictory function.,Giving this information, IMA state secretary Dr Shahjanand Prasad Singh said that while 9,000 patients registered themselves at the mela on the inaugural day i.e. on Saturday, 12,000 patients turned up on Sunday, 13,000 on Monday, 10,200 on Tuesday and 5,800 on Wednesday. Singh said that 1,390 pathological tests, 500 X-rays, 300 ECGs and 300 scans were conducted during the five-day mela. About 50 persons tested HIV positive while 98 persons were found suffering from malaria, 44 persons from leprosy and 190 from filaria after various testes conducted at the mela, Singh added.,Singh said that the doctors from Delhi and Patna also examined 527 patients referred to from the Indira Gandhi Institute of Medical Sciences, 72 cases from the Indira Gandhi Institute of Cardiology, 332 patients from the PMCH and 272 patients from the NMCH. "
"Neil Pate,Jun 21, 2002, 00:55 IST",Condom crunch affects AIDS/HIV drive,"PUNE: Inadequate supply has hit the condom distribution programmes carried out by non-government organisations (NGOs) in the city, consequently jeopardising their HIV/AIDS control drive.Various NGOs working in the citya™s red light area say they have been facing an acute shortage of condoms for the past one month.,aœIn the past one year, we wrote around 30 letters to the officials concerned, highlihting the problem of irregular supply of condoms. Moreover, the issue was raised last year in the Lok Sabha, but the officials continue to turn a blind eye to the problem,a� complained Tejaswi Sevekari, project in-charge of the Peoplea™s Health Organisation (PHO), Pune. ,The organisation has been spearheading the crusade against HIV/AIDS among commercial sex workers (CSWs) in the Budhwar Peth are since 1991.,Although there is no official figure, the NGOs said there are approximately 6,000 CSWs in and around Budhwar Peth. ,They complained that the Pune Municipal Corporation (PMC) was not even meeting half their requirement of 14 lakh condoms per month.,Speaking to TNN, state health minister Digvijay Khanvilkar assured that he would make necessary arrangements of condom boxes, provided the NGOs and authorities concerned sent him a request through.,PMCa™s assistant health officer Dilip B. Pardeshi, who is also secretary of the Pune AIDS Control Society, confirmed the shortage and said the PMC depended solely on the state for the supply.,On an average, the PMC distributed approximately 1.5 lakh condoms every month, in addition to the 46 condom vending machines installed at vantage points in the city, stocking 100 condoms each, Pardeshi said.,However, the NGOs have a different story to tell.,Trustee-cum-HIV/AIDS counsellor Seema Waghmode of Kayakalpa, an NGO carrying out the distribution programme, said they required around 25,000 condoms per month, but got only 18,000 condoms. Likewise, Sevekari complained that last month, they did not receive a single condom.,Vanchit Vikas joint secretary Meena Kurlekar said that as against a monthly requirement of five lakh, it received only 75,000 condoms.,Apart from the HIV/AIDS awareness and prevention programme, the Vanchit Vikas also runs a sexually transmitted disease (STD) clinic for the CSWs. "
"Jul 5, 2002, 02:03 IST",HIV duplicity cases rise,"Hyderabad: The Andhra Pradesh Womena™s Commission is handling an increasing number of cases in which women discovered that their husbands kept their HIV-positive status secret before marriage.The discovery usually happens when the women realise they are themselves infected with the virus when they undergo tests for pregnancy. Consequently, the number of HIVpositive new-born babies has been increasing: there are an estimated 36,000 HIV-positive babies born every year in the state.,Andhra Pradesh Womena™s Commission chairperson C Susheela Devi said the commission has received nine such cases of postmarital HIV-positive discovery, all from the districts. At the Andhra Pradesh State AIDS Control Societya™s interpersonal counselling centres, the number of such cases reported is on the rise. Between May 22 and June 27, seven such cases were reported at the Koti centre alone.,There seems to a pattern to these cases. Some of these men got married in spite of knowing they are HIV-positive because they wanted a a˜nursea™ to look after them, Susheela Devi said. Before marriage, if the groom is too ill to attend pre-marital rites, the womana™s parents are told that he has a minor ailment but the fact that he is HIV-positive is not disclosed, not even after the wedding, said Susheela Devi citing one of the cases. "
"Jul 9, 2002, 15:39 IST",12 Indians with HIV at AIDS conference,"BARCELONA, Spain: K K Abraham, an HIV patient for the past 10 years, on Monday created history by sharing the dais with the UNAIDS executive director, Dr Peter Piot at a press conference. Abraham heads the Indian Network of People living with HIV (NIP). He told TNN that 12 HIV patients, all belonging to his organisation, were attending the conference. ,Milly Katana, member of an internationally known Ugandan woman associated projects launched to fight disease and a member of Global Fund Board, also said that she was suffering from HIV for the past few years. Ralf, a 27 year youth from Amsterdam too declared that he was an HIV positive case. Ralf said that the disease had made him more determined to provide a youth HIV environment."
"Jul 19, 2002, 02:08 IST",Spurt in HIV cases in the city,"HYDERABAD: The number of HIV-positive cases is on the rise in Hyderabad, if the data available with the Municipal Corporation of Hyderabad (MCH) is any indication. Records show that HIV-positive cases have risen from 0.16 per cent of the samples tested in 1989 to 0.99 per cent till April 30, 2002.The Urban Community Development (UCD) wing of the MCH has screened as many as 3,55,275 blood samples. Of them about 2,750 were HIV-positive and 551 were full-blown Aids cases. As many as 78 Aids-related deaths were reported during 2000-2001.,The sero-positivity rate during the year 2000 was 0.68 per cent, and during 2001, it was 0.98 per cent. According to a survey conducted by the UCD, it was revealed that high prevalence of paid sex, a strong network of commercial sex workers and proportionately lower rates of consistent condom use were the contributing factors to the increase in Aids.,Speaking to The Times of India, additional commissioner (UCD) G Malsur said the disease is more prevalent in Hyderabad, Vijayawada and Tirupati. aœThe migration of labourers, who leave behind their families, and a strong network of sex workers are posing dangers,a� he said.,The MCH, in association with the Indian Red Cross Society, has launched a year-long awareness programme in 792 slums in the city.,They have identified high school students, adolescent girls and link volunteers of the health department as the target groups to create awareness.,According to Malsur, the personnel engaged in the awareness programme are facing several challenges such as translation of awareness into behaviour change and ensuring the availability of condoms to cover 80 per cent of the high-risk population.,Presently, the UCD wing of the MCH was training 90 medical officers, 80 slum development officers, 184 public health nurses, and 1,584 resident community volunteers.,Survey reveals 2,750 HIV-positive cases, 551 full-blown Aids cases Hyderabad, Vijayawada and Tirupati hub of HIV infection Awareness programme to target school students, health workers. "
"Jul 26, 2002, 00:31 IST",New TB vaccine ineffective in HIV cases,"PUNE: Doctors associated with SIIL have advised not to administer doses of the newly-launched BCG vaccine to those children whose mothers have tested sputum positive and HIV positive. According to SIIL medical director Dr S. Bharadwaj, the chances of protecting an HIV-infected child from tuberculosis are minimal.,While pointing out that the efficacy of the indigenously-developed vaccine is 83.8 per cent compared to other BCG vaccines with 80.3 per cent efficacy, he said the newly-launched vaccine is best suited for children under six years of age.,""The effects of the vaccine given to a child above six years may not show the desired results,"" he added. "
"Aug 7, 2002, 02:02 IST",STD clinics to get HIV-testing kits,"HYDERABAD: The sexually transmitted disease (STD) clinics of the statea™s 10 teaching hospitals will receive HIV-testing kits to facilitate better screening of patients.As on date, HIV testing is done at the voluntary counselling and testing centres (VCTCs) at these teaching hospitals. A total of 88 VCTCs are functioning in the state at the area, district and teaching hospitals. However, the problem that STD clinic doctors often face is that though they were treating patients who are potential HIV carriers, they do not have a facility to test the patients immediately and have to refer them to the VCTCs functioning in the teaching hospitals.,This proved to be a problem as the VCTCs are located in the microbiology department of the teaching hospitals and hence there was no follow-up as to whether the patient went for the test at all. Moreover, the difficulty of locating the microbiology department in a teaching hospital deterred many patients from going for further tests. It was also noticed that many of the patients referred to the VCTCs never reported back with results and doctors were not able to keep track of the status of patients who came to the STD clinic, AP State Aids Control Society project director K Damayanti says.,It is also possible to give better care to patients once a HIV kit is available at the STD clinic as results can be obtained and suitable treatment administered to the patient immediately, the project director added. Though the problem does not exist in area and district hospitals, in teaching hospitals it is a major problem because of the sheer size of the hospital.,Incidentally, the state has the highest per cent of STD prevalence in the country with 7 per cent in males and females according to a National Aids Control Organisation study. "
"Nihal Koshie,Aug 13, 2002, 22:23 IST",Hospitals say no to HIV+ children,"HYDERABAD: Two orphan children, who are HIV-positive, were turned away by two city hospitals recently. Both the premier institutions claimed they did not have the facilities to treat such cases.The children, one six and the other four, are suffering from HIV-induced tuberculosis. They are now left in the care of Freedom Foundation, the NGO that recommended their cases to the government hospitals. ,Relatives of these children had abandoned them at the foundationa™s office and by the time they were taken in, they had symptoms of HIV-induced TB. ,aœIt was only when their condition deteriorated and they needed further tests that we decided to move them. But both the Niloufer Hospital for Women and Children and the Osmania General Hospital slammed their doors on them,a� said Karl Sequeira, Freedom Foundation executive trustee.,On August 2, the condition both children turned grave. Lawrence S Simon, a counsellor from the foundation, took them to Niloufer.,At the outpatient department, the supervising doctor referred them for admission. That was at 9 am. They were even issued food cards and bystander cards. ,Simon was carrying a letter from foundation doctor Troy Cunningham. The missive spelt out the condition of the patients, the treatment they needed and tests to be conducted.,When Simon and the children reached the ward, the doctor there went through the letter and said he was in no position to admit the children. His hospital, he said, did not have the facility to treat AIDS cases. ,He referred them to Osmania General Hospital. Simon was also asked to sign a aœdischarge on requesta� slip, which he refused.,He took the children, by then showing signs of acute exhaustion, to Osmania hospital.,There, he found the outpatient department closed. So, he contacted the resident medical officer (RMO). He referred them to the counsellor at the hospital.,At this point, Simon told the RMO: aœI can do without the opinion of another counsellor, for at Freedom Foundation this is the job we do.a� ,Nonetheless, the doctor was not convinced and Simon met the counsellor, who agreed to admit the children the next day.,Just when Simon was feeling relieved, the counsellor got back to him and said would not be possible to take the children in. They were referred back to Niloufer.,By then Simon had run out of patience. It was getting late and the children were very ill. So he decided to rush back to the foundation offices, where Dr Troy put them under medication. They are responding to treatment. "
"Aug 14, 2002, 12:07 IST","Treat all HIV patients, govt tells hospitals",The Times of India
"Aug 14, 2002, 00:00 IST",Govt programme to prevent HIV in newborns,"NEW DELHI: The Delhi state government launched its mother-to-child HIV prevention programme in Guru Tegh Bahadur, Deen Dayal Upadhyay and Girdharilal Jain maternity hospitals on Tuesday.But the programme has not made any provisions to ensure that those who undergo the therapy also attend follow-up clinics. As a result, doctors may not be able to know how many really benefitted from the programme.,Of the 1.5 lakh babies born in government hospitals, very few come back for follow up.,Delhi state health minister A K Walia said, a˜a˜Our counsellors will make it clear to the HIV positive mothers that they need to come back with their babies after the delivery.a™a™,Within a couple of months, the programmes will spread to seven other hospitals in Delhi.,A doctor said, a˜a˜Unless such programmes make arrangements to ensure proper follow up, its effect cannot be realised. Even counselling may not be enough as almost 50 per cent of deliveries in hospitals are unbooked.a™a™,According to statistics, about 30 per cent of all children born of HIV positive mothers get the deadly virus. The nevirapine therapy reduces the transmission rate to half a"" about 15 per cent.,Guru Tegh Bahadur Hospital head Dr D K Srivastava said, a˜a˜Very poor patients come to our hospitals and of the 30 deliveries every day, about 15 are unbooked.a™a™,Walia said the programme will soon be extended to private hospitals also. "
"Radhika D Srivastava,Sep 3, 2002, 00:15 IST",9% slum women surveyed test HIV positive,"NEW DELHI: A series of health camps for women in slum clusters have detected an alarmingly high incidence of HIV. In three camps held since June so far, almost nine per cent of women were found positive.The camps known as a˜Stree Shaktia™ are held simultaneously in all nine districts. These have been planned specially to cater to the health needs of women living in slums. Besides the usual check-ups on haemoglobin and blood pressure, women coming to the camps can also get an HIV test done.,The Delhi State AIDS Control Society (DSACS) puts up its stall in these camps and assist in carrying out the HIV Elisa test. ,A doctor not wanting to be named said, a˜a˜On August 11, about 2,200 women were tested for HIV in the nine camps throughout the city. Of them, 250 tested positive. In the previous rounds of camps on June 5 and July 7, the HIV incidence was found to be seven per cent.,Top officials are tight-lipped about the findings. DSACS head N C Ray denied any knowledge about the number of HIV positive in the camps. He told The Times of India that since he was on leave he was not aware.,Delhi state health minister A K Walia said he was not sure. He said, a˜a˜I do not have the findings with me right now. But I do not think the incidence was found to be so high.a™a™,But the doctors actually working with the camp have a different story to tell. A doctor said, a˜a˜The average incidence comes to about 8.7 per cent. The camps have tested only women. The actual number of positive persons would be much higher. The children and spouses of these women would also be positive.a™a™,About 40 per cent of the population in the city is said to be residing in slum clusters and unauthorised colonies. A conservative estimate puts the number of slum dwellers at about 30 lakh.,The doctors also spoke of a camp organised in Nari Niketan on July 7 in west Delhi. In this camp, 30 rescued G B Road sex workers were tested for HIV.,Seven of them were found to be positive. a˜a˜The incidence among them is almost 25 per cent. There are hundreds of such workers still in the brothels of G B Road. So far not a single reliable study has ever been conducted to find out the extent of HIV among them,a™a™ he said.,Alarmed by the figures, the city government ordered a survey by an independent company in the a˜a˜high-riska™a™ areas.,The company would try to find out the HIV prevalence by interacting with the NGOs already working in the areas. The government would pay the company Rs 9 lakh for the job.,Overall India HIV incidence is about 0.1 per cent. And according to the National Aids Control Organisation, Delhi is said to have 22,400 HIV positive people. "
"Sep 12, 2002, 06:23 IST",HIV inhibiting factor opens up possibilies of new drugs,Nature
"Sep 25, 2002, 23:55 IST",Govt rules out law for pre-marital HIV tests,"PUNE: The Maharashtra government has categorically ruled out mandatory HIV tests before marriage in the state, saying that it would only add to the social and ethical problems associated with Aids.State health minister Digvijay Khanvilkar pleaded ignorance about the recent announcement by his Andhra Pradesh (AP) counterpart of introducing a legislation to make such a test mandatory for all people of marriageable age in AP.,Khanvilkar said such a test would amount to a violation of the National Aids Control Organisation (Naco) guidelines. aœThe Naco guidelines do not allow forcible testing,a� he said. Goa is the only state in the country which has made HIV tests before marriage compulsory.,While Maharashtra figures among the top three states in India with about 1.5 to 2 per cent of the adult population falling prey to the disease, mainly due to their sexual behaviour, Khanvilkar said the state government would concentrate on voluntary counselling and testing.,Andhra health minister K. Siva Prasad Rao was quoted by the media last week about the proposed legislation in the coming session of the state assembly. Rao had justified the decision, saying that the state has four lakh HIV positive cases, out of which half of the victims are in the marriageable age.,Elaborating the problems anticipated with mandatory testing, the health minister said such an act does not guarantee that the disease would be confined to only the high risk behavioural groups. aœThe virus has already spread to the general population,a� he said, also pointing out to the window period where the virus may not be detected despite the person undergoing a test.,Meanwhile, secretary of the medical education, G.S. Gill, said that apart from the social and ethical problems, the government cannot afford to annoy the funding agencies, both the Centre and the World Bank, which has funded a whopping Rs 110 crore under the second phase of its Aids project, particularly in Mumbai.,Aids experts Sanjay Pujari and Vinay Kulkarni said efforts should be made to popularise voluntary testing on a case-to-case basis. aœNo doubt, the women populace are at a high risk as the virus is mainly spread by the male population, but then in India, getting a false certificate is no big deal,a� said Pujari. Kulkarni said that an HIV test needs a lot of counselling and infrastructure. "
"Oct 5, 2002, 22:59 IST",Clinical trials of HIV vaccine from 2004,"CHANDIGARH: A piece of good news for the estimated four million HIV infected people in India: enthused by the positive outcome of tests conducted on mice, scientists studying the genomic diversity of HIV in the country are all set to begin clinical trials of the DNAbased HIV vaccine on human beings from 2004.The vaccine has been developed by a team of experts headed by Dr Pradeep Seth, Microbiology department head at All India Institute of Medical Sciences, New Delhi, under the Prime Ministera™s Jai Vigyan Mission programme. ,Dr Sethi is in Chandigarh to attend the two-day meeting of the northwest chapter of Indian Association of Medical Microbiologists, being held at PGI.,A breakthrough in the field of medical science, the vaccine, which experts hope would show positive results on humans too, would go a long way in filling up the void in the treatment of HIVaffected persons owing to the nonavailability of vaccines in India.,Speaking to Times News Network on Saturday, Dr Seth said, a˜a˜Clinical trials have already been performed on mice and the results have been extremely encouraging. The trials are now being conducted on monkeys at two places, one in Bangalore and the other at the University of California. The final results of these tests are expected by the end of 2003, after which we would start trials on human beings in 2004. ,""The DNA-based vaccine has been developed after cloning genes from human strains from which constructs were developed. These have shown excellent results in mice and we are optimistic of a very positive outcome of the trials conducted on humans.a™a™,Commenting on the incidence of HIV in India, Dr Seth noted that the sub-type of HIV-1 which leads to infection here is very different from the sub-type which leads to the disease in Europe and elsewhere in the world.,a˜a˜Nearly 90 per cent of the infection in India is due to sub-type C while sub-type B is the primary causal factor abroad. Though in both cases the resultant infection is the same, the target cells are slightly different. Most of the kits available in India are made in the West from sub-type B. Therefore they either fail to detect HIV infection or the detection is effected at a later stage,a™ he said.,a˜a˜The vaccine that we have developed is targeted at Indians among whom sub-type C is predominant,a™a™ he observed.,Funds for conducting clinical trials on human beings have been allocated by the Centre. "
"Rupa Chinai,Oct 4, 2002, 01:29 IST",HIV-positive women defy the virus,"MUMBAI: They tested positive for the HIV virus over a decade ago, but refused to accept it as a death sentence.Today, these women are a living testimony to the fact that HIV-positive persons can live well and long, given the right support. The so-called AIDS epidemic in Mumbai, it seems, is not following its predicted course.,aœOver 90 per cent of our patients are healthy, many for the past 10 to 12 years,a™a™ said Nagesh Shirgoppikar, a medical consultant at the Salvation Armya™s AIDS clinic in Mumbai. aœIf we can see them through the next three to five years, we will be able to show that even without the AIDS drugs (Anti Retro Viral Therapy), Indians who test HIV-positive and receive the right combination of care, can remain asymptomatic and do very well.a™a™,A group of 12 women, who had lost their husbands to AIDS, took time off from their tailoring class last week to share the secret of how they remain aœlong-term non-progressorsa™a™ as theya™re know by medical experts. ,Set up in 1995, Salvation Armya™s clinic regularly follows up on around 600 HIV-positive patients, providing them a range of services, including tailoring classes in an effort to make them economically independent.,The AIDS widows are candid about their husbands, who, they believe, passed on the virus to them. They believe it was not AIDS that led to their husbandsa™ early demise, but their addiction to alcohol, gutka or cigarettes coupled with a careless attitude to medication, and failing to adopt changes in their lifestyle. ,They extend this logic to their own situation. When they were declared as HIV-positive (through a single Eliza test), their vulnerability to infections such as cold, cough, fever, diorrhea and dizziness increased. They also suffered from weight loss. ,But the women believe that their physical vulnerability was more an outcome of their tension, fatigue after caring for their sick husbands and economic burden rather than AIDS-induced infections.,According to Lata, who was diagnosed HIV-positive 12 years ago, aœIt took us around two to four years to come to terms with our HIV status. We needed time to work out the anger we felt towards our husbands, the rejection of our families and to think quietly about how to deal with the fear.a™a™,Counselling gave her hope. She came across the Salavation Armya™s AIDS clinc where all her questions about AIDS were answered, and got access to good doctors whose detailed and regular check-ups caught infections early.,She also found a support group of sorts among women with similar afflictions. Thereafter, a aœpositive attitudea™a™ became the buzzword in their lives, she said. Lata and other women have learnt in the past decade that it is important to take care of their health. Sharda, another of this group, says that she does not eat out and carries her own drinking water whenever she goes. This has greatly helped in reducing bouts of diarrhoea, cold, cough and fever.,The group members are no longer careless about medication, and do not sit alone and mope at home. If they cannot find paid work, they volunteer for service to other AIDS patients.,aœWhat kills people is the lack of hope, tension, the absence of family and social support and our economic plight. With all other illnesses, even TB or cancer, everyone wants to help and support. HIV, this one word, makes everyone turn away. At this time, if you find even one person who can help you stand on your feet, you have a chance,a™a™ said Sharda.,Too proud to beg refuge in their parentsa™ homes, and shunned by their inlaws, these women are determined to fend for themselves, but it extracts a heavy price. One of them has been forced to put her two children in a staterun home for a year as she cannot look after them. Their diet primarily consists of dal and rice. Seasonal fruits and leafy vegetables that they desperately need to eat are a luxury they can ill-afford.,While innumerable studies point to the vital role nutrition plays in supporting the health of HIV-positive patients, the mega bucks spent in the name of AIDS has never reached them for even this basic need.,The Salvation Armya™s efforts to help these women stand on their own feet is bearing fruits. The first batch of ten women will soon complete their tailoring module and a businessman has promised them their first order. The AIDS widows say that addressing some key issues would make a difference in the care and support of those afflicted.,One is ensuring access to TB drugs through the DOT centresa""the problem here is that lack of motivated health staff and their constant absenteeism forces patients to miss out on medication routine. The second is the presence of well-trained doctors, particularly in the rural areas. ,At present, patients need to make trips to the city for consultations on tratement. The third is security for their children and organisational support in solving legal and other disputes with family members. "
"Oct 2, 2002, 00:44 IST",Garba to raise funds for HIV testing centre,"VADODARA: a˜Technology meets traditiona™, was the message of the Garba Mahotsav organised last year by the Baroda Information Technology Association (BITA). This year round in association with city based NGO, Indu Health Research Foundation (IHRF), they have planned a special Garba for an HIV free society. The BITA-INDU Garba Mahotsav, this year, aims to raise funds for setting up a Voluntary Counselling and HIV Testing Centre (VCTC) in the city to provide free HIV testing and counselling to patients. ,aœWe received initial help from Dr Kiran Patel, an NRI doctor, to set up VCTC, which would provide free pre-HIV and post-HIV test counselling for any patient who comes to the centre. But to sustain the programme for all patients we needed funds, which we plan to collect through the BITA-INDU Garba Mahotsav,a� said Dr Vijay Shah. ,Former president of BITA, Dinesh Patel, said that they wanted to give the city traditional garbas and at the same time wanted to help the society, therefore they joined hands with IHRF. ,aœWe did not want our venture to be commercial. We thought of joining hands with IHRF after we were apprised of the plan of VCTC,a� added Patel,According to Shah, the HIV VCTC would start operations in November. City based psychiatrist Dr Sandeep Shah would head the counselling wing of the centre. Dr. Sandeep Shah said that he has approached the M S Universitya™s department of psychology students to volunteer their services for the centre. They would be trained and then would help in counselling the patients, who come for the HIV tests.,Commenting on the timings of the festival Patel said that the state government as yet had not fixed a deadline but if the limit was till 10 pm then they would abide by it. aœThis year we have made special security arrangements to avert an untoward incident. Though we plan to abide by the early deadline if imposed, I believe that there should be no deadline. ,If we have a deadline, then it would be a fulfilment of the wishes of the terrorists who attacked Akshardham. The BITA-Indu Garba would be organised at the Ajit Nagar grounds near Akota stadium. "
